# chimera	E	m
13212312	123	101
13212313	104	86
13212321	110	98
13212322	111	80
13212323	117	91
13212331	77	75
13212332	103	81
13212333	75	63
13213111	95	41
13213112	128	59
13213113	109	53
13213121	135	68
13213122	136	86
13213123	142	80
13213131	103	64
13213132	129	82
13213133	101	76
13213211	103	91
13213212	126	76
13213213	115	94
13213221	98	67
13213222	89	49
13213223	103	67
13213231	94	95
13213232	110	77
13213233	90	94
13213311	95	85
13213312	128	92
13213313	109	74
13213321	115	91
13213322	116	92
13213323	122	79
13213331	82	63
13213332	108	69
13213333	80	51
13221111	81	46
13221112	114	64
13221113	95	58
13221121	123	73
13221122	124	80
13221123	130	85
13221131	91	69
13221132	117	87
13221133	89	81
13221211	87	75
13221212	110	57
13221213	99	75
13221221	84	48
13221222	75	30
13221223	89	48
13221231	80	76
13221232	96	58
13221233	76	76
13221311	85	90
13221312	118	100
13221313	99	89
13221321	107	91
13221322	108	73
13221323	114	91
13221331	74	78
13221332	100	84
13221333	72	66
13222111	74	57
13222112	107	75
13222113	88	69
13222121	114	84
13222122	115	69
13222123	121	87
13222131	82	80
13222132	108	97
13222133	80	92
13222211	67	64
13222212	90	46
13222213	79	64
13222221	62	37
13222222	53	19
13222223	67	37
13222231	58	65
13222232	74	47
13222233	54	65
13222311	73	100
13222312	106	89
13222313	87	88
13222321	93	80
13222322	94	62
13222323	100	80
13222331	60	77
13222332	86	83
13222333	58	65
13223111	87	59
13223112	120	77
13223113	101	71
13223121	127	86
13223122	128	81
13223123	134	98
13223131	95	82
13223132	121	100
13223133	93	94
13223211	87	76
13223212	110	58
13223213	99	76
13223221	82	49
13223222	73	31
13223223	87	49
13223231	78	77
13223232	94	59
13223233	74	77
13223311	84	88
13223312	117	94
13223313	98	76
13223321	104	92
13223322	105	74
13223323	111	81
13223331	71	65
13223332	97	71
13223333	69	53
13231111	97	47
13231112	130	65
13231113	111	59
13231121	139	74
13231122	140	92
13231123	146	86
13231131	107	70
13231132	133	88
13231133	105	82
13231211	108	96
13231212	131	78
13231213	120	96
13231221	105	69
13231222	96	51
13231223	110	69
13231231	101	97
13231232	117	79
13231233	97	88
13231311	92	80
13231312	125	86
13231313	106	68
13231321	114	85
13231322	115	91
13231323	121	73
13231331	81	57
13231332	107	63
13231333	79	45
13232111	96	58
13232112	129	76
13232113	110	70
13232121	136	85
13232122	137	90
13232123	143	97
13232131	104	81
13232132	130	99
13232133	102	88
13232211	94	85
13232212	117	67
13232213	106	85
13232221	89	58
13232222	80	40
13232223	94	58
13232231	85	86
13232232	101	68
13232233	81	86
13232311	86	79
13232312	119	85
13232313	100	67
13232321	106	84
13232322	107	83
13232323	113	72
13232331	73	56
13232332	99	62
13232333	71	44
13233111	81	60
13233112	114	78
13233113	95	72
13233121	121	87
13233122	122	102
13233123	128	99
13233131	89	83
13233132	115	94
13233133	87	76
13233211	86	97
13233212	109	79
13233213	98	97
13233221	81	70
13233222	72	52
13233223	86	70
13233231	77	87
13233232	93	80
13233233	73	75
13233311	69	67
13233312	102	73
13233313	83	55
13233321	89	72
13233322	90	78
13233323	96	60
13233331	56	44
13233332	82	50
13233333	54	32
13311111	49	27
13311112	82	45
13311113	63	39
13311121	99	54
13311122	100	72
13311123	106	66
13311131	57	50
13311132	83	68
13311133	55	62
13311211	82	77
13311212	105	95
13311213	94	89
13311221	87	86
13311222	78	68
13311223	92	86
13311231	73	99
13311232	89	96
13311233	69	87
13311311	48	71
13311312	81	85
13311313	62	67
13311321	78	84
13311322	79	90
13311323	85	72
13311331	35	56
13311332	61	62
13311333	33	44
13312111	70	38
13312112	103	56
13312113	84	50
13312121	118	65
13312122	119	83
13312123	125	77
13312131	76	61
13312132	102	79
13312133	74	73
13312211	90	88
13312212	113	84
13312213	102	100
13312221	93	75
13312222	84	57
13312223	98	75
13312231	79	98
13312232	95	85
13312233	75	86
13312311	64	78
13312312	97	84
13312313	78	66
13312321	92	83
13312322	93	89
13312323	99	71
13312331	49	55
13312332	75	61
13312333	47	43
13313111	73	40
13313112	106	58
13313113	87	52
13313121	121	67
13313122	122	85
13313123	128	79
13313131	79	63
13313132	105	81
13313133	77	75
13313211	100	90
13313212	123	96
13313213	112	97
13313221	103	87
13313222	94	69
13313223	108	87
13313231	89	86
13313232	105	92
13313233	85	74
13313311	65	66
13313312	98	72
13313313	79	54
13313321	93	71
13313322	94	77
13313323	100	59
13313331	50	43
13313332	76	49
13313333	48	31
13321111	64	45
13321112	97	63
13321113	78	57
13321121	114	72
13321122	115	90
13321123	121	84
13321131	72	68
13321132	98	86
13321133	70	80
13321211	89	95
13321212	112	77
13321213	101	95
13321221	94	68
13321222	85	50
13321223	99	68
13321231	80	96
13321232	96	78
13321233	76	89
13321311	60	81
13321312	93	87
13321313	74	69
13321321	90	86
13321322	91	92
13321323	97	74
13321331	47	58
13321332	73	64
13321333	45	46
13322111	61	56
13322112	94	74
13322113	75	68
13322121	109	83
13322122	110	89
13322123	116	95
13322131	67	79
13322132	93	97
13322133	65	89
13322211	73	84
13322212	96	66
13322213	85	84
13322221	76	57
13322222	67	39
13322223	81	57
13322231	62	85
13322232	78	67
13322233	58	85
13322311	52	80
13322312	85	86
13322313	66	68
13322321	80	85
13322322	81	82
13322323	87	73
13322331	37	57
13322332	63	63
13322333	35	45
13323111	70	58
13323112	103	76
13323113	84	70
13323121	118	85
13323122	119	101
13323123	125	97
13323131	76	81
13323132	102	95
13323133	74	77
13323211	89	96
13323212	112	78
13323213	101	96
13323221	92	69
13323222	83	51
13323223	97	69
13323231	78	88
13323232	94	79
13323233	74	76
13323311	59	68
13323312	92	74
13323313	73	56
13323321	87	73
13323322	88	79
13323323	94	61
13323331	44	45
13323332	70	51
13323333	42	33
13331111	68	46
13331112	101	64
13331113	82	58
13331121	118	73
13331122	119	91
13331123	125	85
13331131	76	69
13331132	102	87
13331133	74	69
13331211	98	96
13331212	121	98
13331213	110	91
13331221	103	89
13331222	94	71
13331223	108	89
13331231	89	80
13331232	105	86
13331233	85	68
13331311	55	60
13331312	88	66
13331313	69	48
13331321	85	65
13331322	86	71
13331323	92	53
13331331	42	37
13331332	68	43
13331333	40	25
13332111	71	57
13332112	104	75
13332113	85	69
13332121	119	84
13332122	120	102
13332123	126	96
13332131	77	80
13332132	103	86
13332133	75	68
13332211	88	102
13332212	111	87
13332213	100	90
13332221	91	78
13332222	82	60
13332223	96	78
13332231	77	79
13332232	93	85
13332233	73	67
13332311	53	59
13332312	86	65
13332313	67	47
13332321	81	64
13332322	82	70
13332323	88	52
13332331	38	36
13332332	64	42
13332333	36	24
13333111	52	59
13333112	85	77
13333113	66	71
13333121	100	86
13333122	101	102
13333123	107	84
13333131	58	68
13333132	84	74
13333133	56	56
13333211	76	90
13333212	99	96
13333213	88	78
13333221	79	90
13333222	70	72
13333223	84	83
13333231	65	67
13333232	81	73
13333233	61	55
13333311	32	47
13333312	65	53
13333313	46	35
13333321	60	52
13333322	61	58
13333323	67	40
13333331	17	24
13333332	43	30
13333333	15	12
21111111	17	11
21111112	30	29
21111113	27	23
21111121	69	38
21111122	50	56
21111123	72	50
21111131	47	34
21111132	53	52
21111133	41	46
21111211	80	61
21111212	83	79
21111213	88	73
21111221	87	76
21111222	58	58
21111223	88	76
21111231	93	84
21111232	89	86
21111233	85	96
21111311	58	55
21111312	71	73
21111313	68	67
21111321	90	82
21111322	71	100
21111323	93	94
21111331	67	78
21111332	73	89
21111333	61	71
21112111	41	22
21112112	54	40
21112113	51	34
21112121	91	49
21112122	72	67
21112123	94	61
21112131	69	45
21112132	75	63
21112133	63	57
21112211	91	72
21112212	94	74
21112213	99	84
21112221	96	65
21112222	67	47
21112223	97	65
21112231	102	93
21112232	98	75
21112233	94	93
21112311	77	66
21112312	90	84
21112313	87	78
21112321	107	93
21112322	88	90
21112323	110	98
21112331	84	82
21112332	90	88
21112333	78	70
21113111	44	24
21113112	57	42
21113113	54	36
21113121	94	51
21113122	75	69
21113123	97	63
21113131	72	47
21113132	78	65
21113133	66	59
21113211	101	74
21113212	104	86
21113213	109	86
21113221	106	77
21113222	77	59
21113223	107	77
21113231	112	97
21113232	108	87
21113233	104	101
21113311	78	68
21113312	91	86
21113313	88	80
21113321	108	95
21113322	89	102
21113323	111	86
21113331	85	70
21113332	91	76
21113333	79	58
21121111	39	29
21121112	52	47
21121113	49	41
21121121	91	56
21121122	72	74
21121123	94	68
21121131	69	52
21121132	75	70
21121133	63	64
21121211	94	79
21121212	97	67
21121213	102	85
21121221	101	58
21121222	72	40
21121223	102	58
21121231	107	86
21121232	103	68
21121233	99	86
21121311	77	73
21121312	90	91
21121313	87	85
21121321	109	100
21121322	90	83
21121323	112	101
21121331	86	85
21121332	92	91
21121333	80	73
21122111	39	40
21122112	52	58
21122113	49	52
21122121	89	67
21122122	70	79
21122123	92	79
21122131	67	63
21122132	73	81
21122133	61	75
21122211	81	74
21122212	84	56
21122213	89	74
21122221	86	47
21122222	57	29
21122223	87	47
21122231	92	75
21122232	88	57
21122233	84	75
21122311	72	84
21122312	85	99
21122313	82	95
21122321	102	90
21122322	83	72
21122323	105	90
21122331	79	84
21122332	85	90
21122333	73	72
21123111	48	42
21123112	61	60
21123113	58	54
21123121	98	69
21123122	79	87
21123123	101	81
21123131	76	65
21123132	82	83
21123133	70	77
21123211	97	86
21123212	100	68
21123213	105	86
21123221	102	59
21123222	73	41
21123223	103	59
21123231	108	87
21123232	104	69
21123233	100	87
21123311	79	86
21123312	92	101
21123313	89	83
21123321	109	100
21123322	90	84
21123323	112	88
21123331	86	72
21123332	92	78
21123333	80	60
21131111	50	30
21131112	63	48
21131113	60	42
21131121	102	57
21131122	83	75
21131123	105	69
21131131	80	53
21131132	86	71
21131133	74	65
21131211	110	80
21131212	113	88
21131213	118	92
21131221	117	79
21131222	88	61
21131223	118	79
21131231	123	103
21131232	119	89
21131233	115	95
21131311	79	74
21131312	92	92
21131313	89	75
21131321	111	92
21131322	92	98
21131323	114	80
21131331	88	64
21131332	94	70
21131333	82	52
21132111	56	41
21132112	69	59
21132113	66	53
21132121	106	68
21132122	87	86
21132123	109	80
21132131	84	64
21132132	90	82
21132133	78	76
21132211	103	91
21132212	106	77
21132213	111	95
21132221	108	68
21132222	79	50
21132223	109	68
21132231	114	96
21132232	110	78
21132233	106	94
21132311	80	85
21132312	93	92
21132313	90	74
21132321	110	91
21132322	91	93
21132323	113	79
21132331	87	63
21132332	93	69
21132333	81	51
21133111	37	43
21133112	50	61
21133113	47	55
21133121	87	70
21133122	68	88
21133123	90	82
21133131	65	66
21133132	71	84
21133133	59	78
21133211	91	93
21133212	94	89
21133213	99	105
21133221	96	80
21133222	67	62
21133223	97	80
21133231	102	94
21133232	98	90
21133233	94	82
21133311	59	74
21133312	72	80
21133313	69	62
21133321	89	79
21133322	70	85
21133323	92	67
21133331	66	51
21133332	72	57
21133333	60	39
21211111	66	34
21211112	79	52
21211113	76	46
21211121	103	61
21211122	84	79
21211123	106	73
21211131	88	57
21211132	94	75
21211133	82	69
21211211	82	80
21211212	85	62
21211213	90	80
21211221	74	53
21211222	45	35
21211223	75	53
21211231	87	81
21211232	83	63
21211233	79	81
21211311	78	78
21211312	91	96
21211313	88	90
21211321	95	96
21211322	76	78
21211323	98	96
21211331	79	81
21211332	85	87
21211333	73	69
21212111	83	45
21212112	96	63
21212113	93	57
21212121	118	72
21212122	99	74
21212123	121	84
21212131	103	68
21212132	109	86
21212133	97	80
21212211	86	69
21212212	89	51
21212213	94	69
21212221	76	42
21212222	47	24
21212223	77	42
21212231	89	70
21212232	85	52
21212233	81	70
21212311	90	89
21212312	103	94
21212313	100	91
21212321	105	85
21212322	86	67
21212323	108	85
21212331	89	80
21212332	95	86
21212333	83	68
21213111	90	47
21213112	103	65
21213113	100	59
21213121	125	74
21213122	106	86
21213123	128	86
21213131	110	70
21213132	116	88
21213133	104	82
21213211	100	81
21213212	103	63
21213213	108	81
21213221	90	54
21213222	61	36
21213223	91	54
21213231	103	82
21213232	99	64
21213233	95	82
21213311	95	91
21213312	108	97
21213313	105	79
21213321	110	96
21213322	91	79
21213323	113	84
21213331	94	68
21213332	100	74
21213333	88	56
21221111	76	52
21221112	89	70
21221113	86	64
21221121	113	79
21221122	94	67
21221123	116	85
21221131	98	75
21221132	104	93
21221133	92	87
21221211	84	62
21221212	87	44
21221213	92	62
21221221	76	35
21221222	47	17
21221223	77	35
21221231	89	63
21221232	85	45
21221233	81	63
21221311	85	96
21221312	98	87
21221313	95	94
21221321	102	78
21221322	83	60
21221323	105	78
21221331	86	83
21221332	92	88
21221333	80	71
21222111	69	63
21222112	82	81
21222113	79	75
21222121	104	74
21222122	85	56
21222123	107	74
21222131	89	86
21222132	95	84
21222133	83	98
21222211	64	51
21222212	67	33
21222213	72	51
21222221	54	24
21222222	25	6
21222223	55	24
21222231	67	52
21222232	63	34
21222233	59	52
21222311	73	94
21222312	86	76
21222313	83	93
21222321	88	67
21222322	69	49
21222323	91	67
21222331	72	82
21222332	78	77
21222333	66	70
21223111	82	65
21223112	95	83
21223113	92	77
21223121	117	86
21223122	98	68
21223123	120	86
21223131	102	88
21223132	108	96
21223133	96	100
21223211	84	63
21223212	87	45
21223213	92	63
21223221	74	36
21223222	45	18
21223223	75	36
21223231	87	64
21223232	83	46
21223233	79	64
21223311	84	93
21223312	97	88
21223313	94	81
21223321	99	79
21223322	80	61
21223323	102	79
21223331	83	70
21223332	89	76
21223333	77	58
21231111	92	53
21231112	105	71
21231113	102	65
21231121	129	80
21231122	110	88
21231123	132	92
21231131	114	76
21231132	120	94
21231133	108	88
21231211	105	83
21231212	108	65
21231213	113	83
21231221	97	56
21231222	68	38
21231223	98	56
21231231	110	84
21231232	106	66
21231233	102	84
21231311	92	85
21231312	105	91
21231313	102	73
21231321	109	90
21231322	90	81
21231323	112	78
21231331	93	62
21231332	99	68
21231333	87	50
21232111	91	64
21232112	104	82
21232113	101	76
21232121	126	91
21232122	107	77
21232123	129	95
21232131	111	87
21232132	117	105
21232133	105	93
21232211	91	72
21232212	94	54
21232213	99	72
21232221	81	45
21232222	52	27
21232223	82	45
21232231	94	73
21232232	90	55
21232233	86	73
21232311	86	84
21232312	99	90
21232313	96	72
21232321	101	88
21232322	82	70
21232323	104	77
21232331	85	61
21232332	91	67
21232333	79	49
21233111	76	66
21233112	89	84
21233113	86	78
21233121	111	93
21233122	92	89
21233123	114	105
21233131	96	89
21233132	102	99
21233133	90	81
21233211	83	84
21233212	86	66
21233213	91	84
21233221	73	57
21233222	44	39
21233223	74	57
21233231	86	85
21233232	82	67
21233233	78	80
21233311	69	72
21233312	82	78
21233313	79	60
21233321	84	77
21233322	65	82
21233323	87	65
21233331	68	49
21233332	74	55
21233333	62	37
21311111	61	33
21311112	74	51
21311113	71	45
21311121	106	60
21311122	87	78
21311123	109	72
21311131	81	56
21311132	87	74
21311133	75	68
21311211	96	83
21311212	99	82
21311213	104	95
21311221	96	73
21311222	67	55
21311223	97	73
21311231	99	101
21311232	95	83
21311233	91	92
21311311	65	77
21311312	78	90
21311313	75	72
21311321	90	89
21311322	71	95
21311323	93	77
21311331	64	61
21311332	70	67
21311333	58	49
21312111	82	44
21312112	95	62
21312113	92	56
21312121	125	71
21312122	106	89
21312123	128	83
21312131	100	67
21312132	106	85
21312133	94	79
21312211	104	89
21312212	107	71
21312213	112	89
21312221	102	62
21312222	73	44
21312223	103	62
21312231	105	90
21312232	101	72
21312233	97	90
21312311	81	83
21312312	94	89
21312313	91	71
21312321	104	88
21312322	85	87
21312323	107	76
21312331	78	60
21312332	84	66
21312333	72	48
21313111	85	46
21313112	98	64
21313113	95	58
21313121	128	73
21313122	109	91
21313123	131	85
21313131	103	69
21313132	109	87
21313133	97	80
21313211	114	96
21313212	117	83
21313213	122	101
21313221	112	74
21313222	83	56
21313223	113	74
21313231	115	91
21313232	111	84
21313233	107	79
21313311	82	71
21313312	95	77
21313313	92	59
21313321	105	76
21313322	86	82
21313323	108	64
21313331	79	48
21313332	85	54
21313333	73	36
21321111	76	51
21321112	89	69
21321113	86	63
21321121	121	78
21321122	102	87
21321123	124	90
21321131	96	74
21321132	102	92
21321133	90	86
21321211	103	82
21321212	106	64
21321213	111	82
21321221	103	55
21321222	74	37
21321223	104	55
21321231	106	83
21321232	102	65
21321233	98	83
21321311	77	86
21321312	90	92
21321313	87	74
21321321	102	91
21321322	83	80
21321323	105	79
21321331	76	63
21321332	82	69
21321333	70	51
21322111	73	62
21322112	86	80
21322113	83	74
21322121	116	89
21322122	97	76
21322123	119	94
21322131	91	85
21322132	97	103
21322133	85	94
21322211	87	71
21322212	90	53
21322213	95	71
21322221	85	44
21322222	56	26
21322223	86	44
21322231	88	72
21322232	84	54
21322233	80	72
21322311	69	85
21322312	82	91
21322313	79	73
21322321	92	87
21322322	73	69
21322323	95	78
21322331	66	62
21322332	72	68
21322333	60	50
21323111	82	64
21323112	95	82
21323113	92	76
21323121	125	91
21323122	106	88
21323123	128	103
21323131	100	87
21323132	106	100
21323133	94	82
21323211	103	83
21323212	106	65
21323213	111	83
21323221	101	56
21323222	72	38
21323223	102	56
21323231	104	84
21323232	100	66
21323233	96	81
21323311	76	73
21323312	89	79
21323313	86	61
21323321	99	78
21323322	80	81
21323323	102	66
21323331	73	50
21323332	79	56
21323333	67	38
21331111	80	52
21331112	93	70
21331113	90	64
21331121	125	79
21331122	106	97
21331123	128	91
21331131	100	75
21331132	106	92
21331133	94	74
21331211	112	102
21331212	115	85
21331213	120	96
21331221	112	76
21331222	83	58
21331223	113	76
21331231	115	85
21331232	111	86
21331233	107	73
21331311	72	65
21331312	85	71
21331313	82	53
21331321	97	70
21331322	78	76
21331323	100	58
21331331	71	42
21331332	77	48
21331333	65	30
21332111	83	63
21332112	96	81
21332113	93	75
21332121	126	90
21332122	107	97
21332123	129	101
21332131	101	85
21332132	107	91
21332133	95	73
21332211	102	92
21332212	105	74
21332213	110	92
21332221	100	65
21332222	71	47
21332223	101	65
21332231	103	84
21332232	99	75
21332233	95	72
21332311	70	64
21332312	83	70
21332313	80	52
21332321	93	69
21332322	74	75
21332323	96	57
21332331	67	41
21332332	73	47
21332333	61	29
21333111	64	65
21333112	77	83
21333113	74	77
21333121	107	92
21333122	88	107
21333123	110	89
21333131	82	73
21333132	88	79
21333133	76	61
21333211	90	95
21333212	93	86
21333213	98	83
21333221	88	77
21333222	59	59
21333223	89	77
21333231	91	72
21333232	87	78
21333233	83	60
21333311	49	52
21333312	62	58
21333313	59	40
21333321	72	57
21333322	53	63
21333323	75	45
21333331	46	29
21333332	52	35
21333333	40	17
22111111	40	17
22111112	49	35
22111113	49	29
22111121	75	44
22111122	52	62
22111123	77	56
22111131	66	40
22111132	68	58
22111133	59	52
22111211	98	67
22111212	97	79
22111213	105	79
22111221	88	70
22111222	55	52
22111223	88	70
22111231	107	90
22111232	99	80
22111233	98	98
22111311	79	61
22111312	88	79
22111313	88	73
22111321	94	88
22111322	71	95
22111323	96	100
22111331	84	84
22111332	86	92
22111333	77	74
22112111	64	28
22112112	73	46
22112113	73	40
22112121	97	55
22112122	74	73
22112123	99	67
22112131	88	51
22112132	90	69
22112133	81	63
22112211	109	78
22112212	108	68
22112213	116	86
22112221	97	59
22112222	64	41
22112223	97	59
22112231	116	87
22112232	108	69
22112233	107	87
22112311	98	72
22112312	107	90
22112313	107	84
22112321	111	99
22112322	88	84
22112323	113	101
22112331	101	85
22112332	103	91
22112333	94	73
22113111	67	30
22113112	76	48
22113113	76	42
22113121	100	57
22113122	77	75
22113123	102	69
22113131	91	53
22113132	93	71
22113133	84	65
22113211	119	80
22113212	118	80
22113213	126	92
22113221	107	71
22113222	74	53
22113223	107	71
22113231	126	99
22113232	118	81
22113233	117	99
22113311	99	74
22113312	108	92
22113313	108	84
22113321	112	101
22113322	89	96
22113323	114	89
22113331	102	73
22113332	104	79
22113333	95	61
22121111	62	35
22121112	71	53
22121113	71	47
22121121	97	62
22121122	74	80
22121123	99	74
22121131	88	58
22121132	90	76
22121133	81	70
22121211	112	79
22121212	111	61
22121213	119	79
22121221	102	52
22121222	69	34
22121223	102	52
22121231	121	80
22121232	113	62
22121233	112	80
22121311	98	79
22121312	107	97
22121313	107	91
22121321	113	95
22121322	90	77
22121323	115	95
22121331	103	88
22121332	105	94
22121333	96	76
22122111	62	46
22122112	71	64
22122113	71	58
22122121	95	73
22122122	72	73
22122123	97	85
22122131	86	69
22122132	88	87
22122133	79	81
22122211	99	68
22122212	98	50
22122213	106	68
22122221	87	41
22122222	54	23
22122223	87	41
22122231	106	69
22122232	98	51
22122233	97	69
22122311	93	90
22122312	102	93
22122313	102	98
22122321	106	84
22122322	83	66
22122323	108	84
22122331	96	87
22122332	98	93
22122333	89	75
22123111	71	48
22123112	80	66
22123113	80	60
22123121	104	75
22123122	81	85
22123123	106	87
22123131	95	71
22123132	97	89
22123133	88	83
22123211	115	80
22123212	114	62
22123213	122	80
22123221	103	53
22123222	70	35
22123223	103	53
22123231	122	81
22123232	114	63
22123233	113	81
22123311	100	92
22123312	109	104
22123313	109	86
22123321	113	96
22123322	90	78
22123323	115	91
22123331	103	75
22123332	105	81
22123333	96	63
22131111	73	36
22131112	82	54
22131113	82	48
22131121	108	63
22131122	85	81
22131123	110	75
22131131	99	59
22131132	101	77
22131133	92	71
22131211	128	86
22131212	127	82
22131213	135	98
22131221	118	73
22131222	85	55
22131223	118	73
22131231	137	101
22131232	129	83
22131233	128	98
22131311	100	80
22131312	109	96
22131313	109	78
22131321	115	95
22131322	92	98
22131323	117	83
22131331	105	67
22131332	107	73
22131333	98	55
22132111	79	47
22132112	88	65
22132113	88	59
22132121	112	74
22132122	89	92
22132123	114	86
22132131	103	70
22132132	105	88
22132133	96	82
22132211	121	89
22132212	120	71
22132213	128	89
22132221	109	62
22132222	76	44
22132223	109	62
22132231	128	90
22132232	120	72
22132233	119	90
22132311	101	89
22132312	110	95
22132313	110	77
22132321	114	94
22132322	91	87
22132323	116	82
22132331	104	66
22132332	106	72
22132333	97	54
22133111	60	49
22133112	69	67
22133113	69	61
22133121	93	76
22133122	70	94
22133123	95	88
22133131	84	72
22133132	86	90
22133133	77	84
22133211	109	99
22133212	108	83
22133213	116	101
22133221	97	74
22133222	64	56
22133223	97	74
22133231	116	97
22133232	108	84
22133233	107	85
22133311	80	77
22133312	89	83
22133313	89	65
22133321	93	82
22133322	70	88
22133323	95	70
22133331	83	54
22133332	85	60
22133333	76	42
22211111	67	40
22211112	76	58
22211113	76	52
22211121	87	67
22211122	64	79
22211123	89	79
22211131	85	63
22211132	87	81
22211133	78	75
22211211	78	74
22211212	77	56
22211213	85	74
22211221	53	47
22211222	20	29
22211223	53	47
22211231	79	75
22211232	71	57
22211233	70	75
22211311	77	84
22211312	86	99
22211313	86	95
22211321	77	90
22211322	54	72
22211323	79	90
22211331	74	84
22211332	76	90
22211333	67	72
22212111	84	51
22212112	93	69
22212113	93	63
22212121	102	78
22212122	79	68
22212123	104	86
22212131	100	74
22212132	102	92
22212133	93	86
22212211	82	63
22212212	81	45
22212213	89	63
22212221	55	36
22212222	22	18
22212223	55	36
22212231	81	64
22212232	73	46
22212233	72	64
22212311	89	95
22212312	98	88
22212313	98	94
22212321	87	79
22212322	64	61
22212323	89	79
22212331	84	83
22212332	86	89
22212333	77	71
22213111	91	53
22213112	100	71
22213113	100	65
22213121	109	80
22213122	86	80
22213123	111	92
22213131	107	76
22213132	109	94
22213133	100	88
22213211	96	75
22213212	95	57
22213213	103	75
22213221	69	48
22213222	36	30
22213223	69	48
22213231	95	76
22213232	87	58
22213233	86	76
22213311	94	94
22213312	103	100
22213313	103	82
22213321	92	91
22213322	69	73
22213323	94	87
22213331	89	71
22213332	91	77
22213333	82	59
22221111	77	58
22221112	86	76
22221113	86	70
22221121	97	79
22221122	74	61
22221123	99	79
22221131	95	81
22221132	97	89
22221133	88	93
22221211	80	56
22221212	79	38
22221213	87	56
22221221	55	29
22221222	22	11
22221223	55	29
22221231	81	57
22221232	73	39
22221233	72	57
22221311	84	99
22221312	93	81
22221313	93	97
22221321	84	72
22221322	61	54
22221323	86	72
22221331	81	86
22221332	83	82
22221333	74	74
22222111	70	69
22222112	79	77
22222113	79	81
22222121	88	68
22222122	65	50
22222123	90	68
22222131	86	92
22222132	88	78
22222133	79	96
22222211	60	45
22222212	59	27
22222213	67	45
22222221	33	18
22222222	0	0
22222223	33	18
22222231	59	46
22222232	51	28
22222233	50	46
22222311	72	88
22222312	81	70
22222313	81	88
22222321	70	61
22222322	47	43
22222323	72	61
22222331	67	85
22222332	69	71
22222333	60	73
22223111	83	71
22223112	92	89
22223113	92	83
22223121	101	80
22223122	78	62
22223123	103	80
22223131	99	94
22223132	101	90
22223133	92	105
22223211	80	57
22223212	79	39
22223213	87	57
22223221	53	30
22223222	20	12
22223223	53	30
22223231	79	58
22223232	71	40
22223233	70	58
22223311	83	96
22223312	92	82
22223313	92	84
22223321	81	73
22223322	58	55
22223323	83	73
22223331	78	73
22223332	80	79
22223333	71	61
22231111	93	59
22231112	102	77
22231113	102	71
22231121	113	86
22231122	90	82
22231123	115	98
22231131	111	82
22231132	113	100
22231133	104	94
22231211	101	77
22231212	100	59
22231213	108	77
22231221	76	50
22231222	43	32
22231223	76	50
22231231	102	78
22231232	94	60
22231233	93	78
22231311	91	88
22231312	100	94
22231313	100	76
22231321	91	93
22231322	68	75
22231323	93	81
22231331	88	65
22231332	90	71
22231333	81	53
22232111	92	70
22232112	101	88
22232113	101	82
22232121	110	89
22232122	87	71
22232123	112	89
22232131	108	93
22232132	110	99
22232133	101	96
22232211	87	66
22232212	86	48
22232213	94	66
22232221	60	39
22232222	27	21
22232223	60	39
22232231	86	67
22232232	78	49
22232233	77	67
22232311	85	87
22232312	94	91
22232313	94	75
22232321	83	82
22232322	60	64
22232323	85	80
22232331	80	64
22232332	82	70
22232333	73	52
22233111	77	72
22233112	86	90
22233113	86	84
22233121	95	99
22233122	72	83
22233123	97	101
22233131	93	95
22233132	95	102
22233133	86	84
22233211	79	78
22233212	78	60
22233213	86	78
22233221	52	51
22233222	19	33
22233223	52	51
22233231	78	79
22233232	70	61
22233233	69	79
22233311	68	75
22233312	77	81
22233313	77	63
22233321	66	80
22233322	43	76
22233323	68	68
22233331	63	52
22233332	65	58
22233333	56	40
22311111	78	39
22311112	87	57
22311113	87	51
22311121	106	66
22311122	83	84
22311123	108	78
22311131	94	62
22311132	96	80
22311133	87	74
22311211	108	89
22311212	107	76
22311213	115	94
22311221	91	67
22311222	58	49
22311223	91	67
22311231	107	95
22311232	99	77
22311233	98	95
22311311	80	83
22311312	89	93
22311313	89	75
22311321	88	92
22311322	65	92
22311323	90	80
22311331	75	64
22311332	77	70
22311333	68	52
22312111	99	50
22312112	108	68
22312113	108	62
22312121	125	77
22312122	102	88
22312123	127	89
22312131	113	73
22312132	115	91
22312133	106	85
22312211	116	83
22312212	115	65
22312213	123	83
22312221	97	56
22312222	64	38
22312223	97	56
22312231	113	84
22312232	105	66
22312233	104	84
22312311	96	86
22312312	105	92
22312313	105	74
22312321	102	91
22312322	79	81
22312323	104	79
22312331	89	63
22312332	91	69
22312333	82	51
22313111	102	52
22313112	111	70
22313113	111	64
22313121	128	79
22313122	105	97
22313123	130	91
22313131	116	75
22313132	118	93
22313133	109	83
22313211	126	95
22313212	125	77
22313213	133	95
22313221	107	68
22313222	74	50
22313223	107	68
22313231	123	94
22313232	115	78
22313233	114	82
22313311	97	74
22313312	106	80
22313313	106	62
22313321	103	79
22313322	80	85
22313323	105	67
22313331	90	51
22313332	92	57
22313333	83	39
22321111	93	57
22321112	102	75
22321113	102	69
22321121	121	84
22321122	98	81
22321123	123	96
22321131	109	80
22321132	111	98
22321133	102	92
22321211	115	76
22321212	114	58
22321213	122	76
